Grant,Expense Type,Status,Guidance
Title III-A,Family liaison,Allowable,Supplemental Title III-A activity
Title III-A,Educational field trips linked to LIEP,Allowable,Supplemental Title III-A activity
Title III-A,Immigrant student tutoring,Allowable,Supplemental Title III-A activity
Title III-A,EL identification and screening,Not Allowable,Supplanting or specifically prohibited
Title III-A,Annual ELP assessments,Not Allowable,Supplanting or specifically prohibited
Title III-A,Core LIEP,Not Allowable,Supplanting or specifically prohibited
Title III-A,Required translation services,Not Allowable,Supplanting or specifically prohibited
Title III-A,Civil rights obligations,Not Allowable,Supplanting or specifically prohibited
Title III-A,Core curriculum for all students,Not Allowable,Supplanting or specifically prohibited
Title III-A,Gift cards,Not Allowable,Supplanting or specifically prohibited
Title III-A,Clothing/uniforms,Not Allowable,Supplanting or specifically prohibited
Title IV-A,School counselor,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,School resource officer,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,Behavior support positions,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,Technology coach,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,Bullying prevention PD,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,SEL activities,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,Dual enrollment programs,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,Academic assessments,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,3D printers and technology supplies,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,Field trips tied to curriculum,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title IV-A,Medical services,Not Allowable,Listed non-eligible
Title IV-A,SRO weapons,Not Allowable,Listed non-eligible
Title IV-A,Gift cards,Not Allowable,Listed non-eligible
Title IV-A,Medical supplies,Not Allowable,Listed non-eligible
Title IV-A,Weapons,Not Allowable,Listed non-eligible
Title IV-A,Entertainment field trips,Not Allowable,Listed non-eligible
Title IX-A,Supplemental tutoring,Allowable,Authorized McKinney-Vento activity
Title IX-A,Professional development for homeless education,Allowable,Authorized McKinney-Vento activity
Title IX-A,Health referrals,Allowable,Authorized McKinney-Vento activity
Title IX-A,School of origin transportation excess cost,Allowable,Authorized McKinney-Vento activity
Title IX-A,Early childhood programs,Allowable,Authorized McKinney-Vento activity
Title IX-A,Record transfer fees,Allowable,Authorized McKinney-Vento activity
Title IX-A,Parent training,Allowable,Authorized McKinney-Vento activity
Title IX-A,School supplies at shelters,Allowable,Authorized McKinney-Vento activity
Title IX-A,Emergency services for attendance,Allowable,Authorized McKinney-Vento activity
Title IX-A,Rental assistance,Not Allowable,Non-eligible homeless subgrant expenditure
Title IX-A,Housing deposit,Not Allowable,Non-eligible homeless subgrant expenditure
Title IX-A,Utilities,Not Allowable,Non-eligible homeless subgrant expenditure
Title IX-A,Gift cards,Not Allowable,Non-eligible homeless subgrant expenditure
Title IX-A,Services for non-homeless students,Not Allowable,Non-eligible homeless subgrant expenditure
Title I-A School Improvement,Program Administrator/Grant Manager/Title I Coordinator salary portion,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Data Coordinator,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Homeless Liaison,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Title I Teacher Reading/Math Specialist,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Instructional Coach,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Preschool/Early Childhood staff,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Summer/before-after school tutoring staff,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Title I paraprofessionals,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Parent and Family Engagement liaison,Allowable,Approved allocable Title I-A position
Title I-A School Improvement,Entire salary not fully Title I,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Non-Title I school work time,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Substitutes not in school plan,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Supplies for non-Title I schools,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Gift cards,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,T-shirts,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Cash awards,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Entertainment events,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,End of year celebrations,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Staff appreciation items,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A School Improvement,Computers/software for Title I students,Allowable,Support Title I instruction
Title I-A School Improvement,Field trips tied to curriculum,Conditional,Must tie to curriculum
Title I-A School Improvement,Food and beverage for Title I meetings,Conditional,Must meet federal requirements
Title I-A School Improvement,Student transportation to regular school day,Not Allowable,Cannot charge grant for regular day transportation
Title I-A School Improvement,Educational memberships/subscriptions,Allowable,Support Title I initiatives
Title I-A School Improvement,School clothing and shoes,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Student fees for general education participation,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,School or hygiene supplies,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Birth certificates,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Immunizations,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Medical and dental services,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Eyeglasses/hearing aids,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Tutoring services,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,ACT/SAT exams,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Graduation fees caps gowns,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A School Improvement,Rental assistance,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A School Improvement,Motel/hotel stays,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A School Improvement,Housing deposit,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A School Improvement,Utility bills,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A School Improvement,Household appliances,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A School Improvement,Food for whole family,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A School Improvement,Yearbooks,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A School Improvement,Study abroad trips,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Program Administrator/Grant Manager/Title I Coordinator salary portion,Allowable,Approved allocable Title I-A position
Title V-B,Data Coordinator,Allowable,Approved allocable Title I-A position
Title V-B,Homeless Liaison,Allowable,Approved allocable Title I-A position
Title V-B,Title I Teacher Reading/Math Specialist,Allowable,Approved allocable Title I-A position
Title V-B,Instructional Coach,Allowable,Approved allocable Title I-A position
Title V-B,Preschool/Early Childhood staff,Allowable,Approved allocable Title I-A position
Title V-B,Summer/before-after school tutoring staff,Allowable,Approved allocable Title I-A position
Title V-B,Title I paraprofessionals,Allowable,Approved allocable Title I-A position
Title V-B,Parent and Family Engagement liaison,Allowable,Approved allocable Title I-A position
Title V-B,Entire salary not fully Title I,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Non-Title I school work time,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Substitutes not in school plan,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Supplies for non-Title I schools,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Gift cards,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,T-shirts,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Cash awards,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Entertainment events,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,End of year celebrations,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Staff appreciation items,Not Allowable,Listed as non-eligible Title I-A expenditure
Title V-B,Computers/software for Title I students,Allowable,Support Title I instruction
Title V-B,Field trips tied to curriculum,Conditional,Must tie to curriculum
Title V-B,Food and beverage for Title I meetings,Conditional,Must meet federal requirements
Title V-B,Student transportation to regular school day,Not Allowable,Cannot charge grant for regular day transportation
Title V-B,Educational memberships/subscriptions,Allowable,Support Title I initiatives
Title V-B,School clothing and shoes,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Student fees for general education participation,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,School or hygiene supplies,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Birth certificates,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Immunizations,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Medical and dental services,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Eyeglasses/hearing aids,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Tutoring services,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,ACT/SAT exams,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Graduation fees caps gowns,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title V-B,Rental assistance,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Motel/hotel stays,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Housing deposit,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Utility bills,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Household appliances,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Food for whole family,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Yearbooks,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Study abroad trips,Not Allowable,Non-eligible homeless set-aside expenditure
Title V-B,Evidence-based professional development,Allowable,Authorized Title II-A activity
Title V-B,Instructional coaching,Allowable,Authorized Title II-A activity
Title V-B,Substitutes for Title II-A PD,Allowable,Authorized Title II-A activity
Title V-B,Teacher stipends for PD,Allowable,Authorized Title II-A activity
Title V-B,Books and materials for PD,Allowable,Authorized Title II-A activity
Title V-B,Recruiting effective teachers,Allowable,Authorized Title II-A activity
Title V-B,Mentoring programs,Allowable,Authorized Title II-A activity
Title V-B,Paraprofessional certification support,Allowable,Authorized Title II-A activity
Title V-B,Class-size reduction with effective teachers,Allowable,Authorized Title II-A activity
Title V-B,Trauma-informed training,Allowable,Authorized Title II-A activity
Title V-B,Regular teacher salaries,Not Allowable,Title II-A specific prohibition
Title V-B,Background checks,Not Allowable,Title II-A specific prohibition
Title V-B,Fingerprinting fees,Not Allowable,Title II-A specific prohibition
Title V-B,Required accreditation fees,Not Allowable,Title II-A specific prohibition
Title V-B,State-required assessment fees,Not Allowable,Title II-A specific prohibition
Title V-B,Curriculum supplies,Not Allowable,Title II-A specific prohibition
Title V-B,Food for non-Title-II activities,Not Allowable,Title II-A specific prohibition
Title V-B,Activities required by law,Not Allowable,Title II-A specific prohibition
Title V-B,Supplemental LIEPs,Allowable,Supplemental Title III-A activity
Title V-B,Supplemental instructional materials,Allowable,Supplemental Title III-A activity
Title V-B,Tutoring for ELs,Allowable,Supplemental Title III-A activity
Title V-B,Dual enrollment for ELs,Allowable,Supplemental Title III-A activity
Title V-B,Professional development for EL educators,Allowable,Supplemental Title III-A activity
Title V-B,Family literacy services,Allowable,Supplemental Title III-A activity
Title V-B,Family engagement workshops,Allowable,Supplemental Title III-A activity
Title V-B,Family liaison,Allowable,Supplemental Title III-A activity
Title V-B,Educational field trips linked to LIEP,Allowable,Supplemental Title III-A activity
Title V-B,Immigrant student tutoring,Allowable,Supplemental Title III-A activity
Title V-B,EL identification and screening,Not Allowable,Supplanting or specifically prohibited
Title V-B,Annual ELP assessments,Not Allowable,Supplanting or specifically prohibited
Title V-B,Core LIEP,Not Allowable,Supplanting or specifically prohibited
Title V-B,Required translation services,Not Allowable,Supplanting or specifically prohibited
Title V-B,Civil rights obligations,Not Allowable,Supplanting or specifically prohibited
Title V-B,Core curriculum for all students,Not Allowable,Supplanting or specifically prohibited
Title V-B,Gift cards,Not Allowable,Supplanting or specifically prohibited
Title V-B,Clothing/uniforms,Not Allowable,Supplanting or specifically prohibited
Title V-B,School counselor,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,School resource officer,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,Behavior support positions,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,Technology coach,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,Bullying prevention PD,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,SEL activities,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,Dual enrollment programs,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,Academic assessments,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,3D printers and technology supplies,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,Field trips tied to curriculum,Allowable,"Authorized under well-rounded, safe schools, or technology"
Title V-B,Medical services,Not Allowable,Listed non-eligible
Title V-B,SRO weapons,Not Allowable,Listed non-eligible
Title V-B,Gift cards,Not Allowable,Listed non-eligible
Title V-B,Medical supplies,Not Allowable,Listed non-eligible
Title V-B,Weapons,Not Allowable,Listed non-eligible
Title V-B,Entertainment field trips,Not Allowable,Listed non-eligible
